"name","ipv4address","enabled","distinguishedname","description","LastLogonDate","OperatingSystem"
"UTO4069082","None Found","True","CN=UTO4069082,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"3/6/2020 1:50:02 PM","Windows 10 Enterprise"
"UTODSP4155146","None Found","True","CN=UTODSP4155146,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/3/2019 3:43:44 PM","Windows 10 Enterprise"
"UTO4123541","None Found","True","CN=UTO4123541,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"3/6/2020 1:50:07 PM","Windows 10 Enterprise"
"RL-2VPD3C2","None Found","True","CN=RL-2VPD3C2,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","2VPD3C2 \ Dell Inc. OptiPlex 5040","8/12/2021 9:36:47 AM","Windows 10 Enterprise"
"UTODSP4060131","None Found","True","CN=UTODSP4060131,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"6/28/2019 4:45:13 PM","Windows 10 Enterprise"
"UTODSP4155149","None Found","True","CN=UTODSP4155149,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/3/2019 4:27:23 PM","Windows 10 Enterprise"
"UTODSP4155148","None Found","True","CN=UTODSP4155148,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"4/17/2020 7:16:44 AM","Windows 10 Enterprise"
"UTO4108739V1","None Found","True","CN=UTO4108739V1,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"4/10/2018 11:04:38 AM","Windows 10 Enterprise"
"UTODSP4108617","None Found","True","CN=UTODSP4108617,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Jake Burgraff\ Dell Inc.  OptiPlex 9020 \ 2GLBF42","9/22/2021 10:18:32 AM","Windows 10 Enterprise"
"UTOdsp4108618v2","None Found","True","CN=UTOdsp4108618v2,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"12/11/2017 9:24:37 AM","Windows 10 Enterprise"
"Uto4143669","None Found","True","CN=Uto4143669,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"3/10/2020 11:23:28 AM","Windows 10 Enterprise"
"UTO4155141","None Found","True","CN=UTO4155141,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/15/2021 10:07:12 AM","Windows 10 Enterprise"
"UTOdsp4090698V1","None Found","True","CN=UTOdsp4090698V1,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","VMware-56 4d 01 57 9e bf c4 ad-15 0c 25 8a f8 bf 80 87 \ 4090698 - VMware, Inc. VMware Virtual Platform","3/12/2018 9:53:24 AM","Windows 10 Enterprise"
"UTODSP4079957","None Found","True","CN=UTODSP4079957,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","ASU Chandler Innovation Center (ACIC) Room 113 \ Dell Inc. Optiplex 790 \  99PP8V1","9/24/2021 8:47:15 AM","Windows 10 Enterprise"
"UTODSP4084925","None Found","True","CN=UTODSP4084925,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","DSS PolyTechnic Loaner \ Dell Inc. Optiplex 9010 AIO","6/26/2019 2:07:51 PM","Windows 10 Enterprise"
"UTODSP4097407","None Found","True","CN=UTODSP4097407,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support - Robert Lane","2/24/2021 7:22:14 AM","Windows 10 Enterprise"
"UTODSP4080630","None Found","True","CN=UTODSP4080630,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/18/2018 2:02:28 PM","Windows 10 Enterprise"
"UTODSP4059965","None Found","True","CN=UTODSP4059965,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","MsPacman / OptiPlex 780 / DB6YPM1","4/16/2019 10:27:17 AM","Windows 10 Enterprise"
"UTODSP4092785","None Found","True","CN=UTODSP4092785,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/15/2021 11:44:59 AM","Windows 10 Enterprise"
"UTOEMAILVM2","None Found","True","CN=UTOEMAILVM2,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"1/8/2021 3:14:00 PM","Windows 10 Enterprise"
"UTODSP4155158","None Found","True","CN=UTODSP4155158,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/9/2019 9:07:00 AM","Windows 10 Enterprise"
"UTODSP4074258","None Found","False","CN=UTODSP4074258,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","DUPLICATE OBJECT oF UTODSP4074251","2/15/2019 2:21:29 PM","Windows 10 Enterprise"
"UTODSP4155151","None Found","True","CN=UTODSP4155151,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/21/2021 2:43:04 PM","Windows 10 Enterprise"
"UTODSP4155159","None Found","True","CN=UTODSP4155159,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/9/2019 9:24:29 AM","Windows 10 Enterprise"
"UTODSPC4155145","None Found","True","CN=UTODSPC4155145,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/24/2021 12:38:38 PM","Windows 10 Enterprise"
"UTODSP4155153","None Found","True","CN=UTODSP4155153,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/5/2019 9:24:49 AM","Windows 10 Enterprise"
"UTODSP4155157","None Found","True","CN=UTODSP4155157,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"10/11/2019 1:30:23 PM","Windows 10 Enterprise"
"UTODSP4155152","None Found","True","CN=UTODSP4155152,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/17/2019 2:16:17 PM","Windows 10 Enterprise"
"UTO4155091","None Found","True","CN=UTO4155091,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Dell 7050 SFF - Cooley Ballroom Conference Room B","9/24/2021 11:56:20 AM","Windows 10 Enterprise"
"UTODSP4155150","None Found","True","CN=UTODSP4155150,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/24/2021 10:24:44 AM","Windows 10 Enterprise"
"UTODSP4155154","None Found","True","CN=UTODSP4155154,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"4/17/2020 7:21:41 AM","Windows 10 Enterprise"
"UTODSP4155156","None Found","True","CN=UTODSP4155156,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"7/5/2019 9:46:57 AM","Windows 10 Enterprise"
"UTODSP4143291","None Found","True","CN=UTODSP4143291,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Mitchell Faherty \ Latitude 7480 \ 3H3R2H2","8/25/2021 11:38:49 AM","Windows 10 Enterprise"
"UTO4121502","None Found","True","CN=UTO4121502,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Derrick Shuman \ Lat. E7270 \ FXJZQ72","9/24/2021 11:00:23 AM","Windows 10 Enterprise"
"UTO4080631","None Found","True","CN=UTO4080631,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"5/18/2021 3:53:44 PM","Windows 10 Enterprise"
"UTODSP4123533","None Found","True","CN=UTODSP4123533,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"3/5/2020 12:20:20 PM","Windows 10 Enterprise"
"UTODS4084925","None Found","True","CN=UTODS4084925,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"4/21/2021 2:52:36 PM","Windows 10 Enterprise"
"UTODSP4060131V1","None Found","True","CN=UTODSP4060131V1,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"6/21/2019 1:43:56 PM","Windows 10 Enterprise"
