"name","ipv4address","enabled","distinguishedname","LastLogonDate","OperatingSystem"
"CLSCB-4096056","None Found","True","CN=CLSCB-4096056,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/22/2019 11:42:41 AM","Windows 7 Enterprise"
"CLShum4108636","None Found","True","CN=CLShum4108636,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","2/18/2020 9:35:31 AM","Windows 10 Enterprise"
"CLSSM-4080655","None Found","True","CN=CLSSM-4080655,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/27/2021 1:07:04 PM","Windows 10 Enterprise"
"CLSCLS4155320","None Found","True","CN=CLSCLS4155320,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/22/2021 11:32:26 AM","Windows 10 Enterprise"
"CLSSM-4055401","None Found","True","CN=CLSSM-4055401,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","12/16/2020 10:44:39 AM","Windows 10 Enterprise"
"CLSCLS4075594","None Found","True","CN=CLSCLS4075594,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/15/2021 10:45:09 AM","Windows 10 Enterprise"
"CISA4156452","None Found","True","CN=CISA4156452,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/28/2021 11:54:48 AM","Windows 10 Enterprise"
"CLSCLS4090725","None Found","True","CN=CLSCLS4090725,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/23/2021 9:24:48 AM","Windows 10 Enterprise"
"CLSCLS4090748","None Found","True","CN=CLSCLS4090748,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/9/2021 1:14:19 AM","Windows 10 Enterprise"
"CISA4155203","None Found","True","CN=CISA4155203,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","2/3/2021 2:33:53 PM","Windows 10 Enterprise"
"CISA4155204","None Found","True","CN=CISA4155204,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","1/31/2021 11:01:52 PM","Windows 10 Enterprise"
"CLSHUM4108644","None Found","True","CN=CLSHUM4108644,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/9/2021 1:37:50 AM","Windows 10 Enterprise"
"CLSCLS4144943","None Found","True","CN=CLSCLS4144943,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","5/5/2020 3:24:05 PM","Windows 10 Pro"
"CISA4156449","None Found","True","CN=CISA4156449,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/10/2021 10:03:59 AM","Windows 10 Enterprise"
"CLSCLS4155168","None Found","True","CN=CLSCLS4155168,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","3/20/2020 8:53:59 AM","Windows 10 Enterprise"
"CLSCLS4090704","None Found","True","CN=CLSCLS4090704,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/15/2021 9:20:27 PM","Windows 10 Enterprise"
"CLScls4096145","None Found","True","CN=CLScls4096145,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","3/17/2021 12:21:07 PM","Windows 10 Enterprise"
"CLSSM-4108625","None Found","True","CN=CLSSM-4108625,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/15/2021 9:08:56 PM","Windows 10 Enterprise"
"CLShum4108684","None Found","True","CN=CLShum4108684,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/14/2021 8:56:42 AM",
"CLSSM-4108800","None Found","True","CN=CLSSM-4108800,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","1/12/2021 4:30:32 PM","Windows 10 Enterprise"
